更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV2,http://121.33.114.181:54321/rtp/239.77.1.158:5146
CCTV2,http://121.33.114.181:54321/rtp/239.253.43.17:5146
CCTV2,http://121.33.114.181:54321/rtp/239.77.0.137:5146
CCTV3,http://121.33.114.181:54321/rtp/239.77.0.32:5146
CCTV3,http://121.33.114.181:54321/rtp/239.77.0.169:5146
CCTV3,http://121.33.114.181:54321/rtp/239.77.0.175:5146
CCTV4,http://121.33.114.181:54321/rtp/239.77.0.33:5146
CCTV4,http://121.33.114.181:54321/rtp/239.77.1.163:5146
CCTV4,http://121.33.114.181:54321/rtp/239.77.1.166:5146
CCTV4,http://121.33.114.181:54321/rtp/239.77.0.78:5146
CCTV4美洲高清,http://121.33.114.181:54321/rtp/239.253.43.121:5146
CCTV4欧洲高清,http://121.33.114.181:54321/rtp/239.253.43.120:5146
CCTV5,http://121.33.114.181:54321/rtp/239.77.0.34:5146
CCTV5,http://121.33.114.181:54321/rtp/239.77.0.170:5146
CCTV5,http://121.33.114.181:54321/rtp/239.77.0.177:5146
CCTV5+,http://121.33.114.181:54321/rtp/239.77.0.87:5146
CCTV5+,http://121.33.114.181:54321/rtp/239.77.1.31:5146
CCTV5+,http://121.33.114.181:54321/rtp/239.77.1.147:5146
CCTV6,http://121.33.114.181:54321/rtp/239.77.0.35:5146
CCTV6,http://121.33.114.181:54321/rtp/239.77.0.171:5146
CCTV6,http://121.33.114.181:54321/rtp/239.77.0.178:5146
CCTV7,http://121.33.114.181:54321/rtp/239.77.0.36:5146
CCTV7,http://121.33.114.181:54321/rtp/239.77.1.159:5146
CCTV7,http://121.33.114.181:54321/rtp/239.77.1.167:5146
CCTV7,http://121.33.114.181:54321/rtp/239.77.0.138:5146
CCTV8,http://121.33.114.181:54321/rtp/239.77.0.37:5146
CCTV8,http://121.33.114.181:54321/rtp/239.77.0.172:5146
CCTV8,http://121.33.114.181:54321/rtp/239.77.0.181:5146
CCTV9,http://121.33.114.181:54321/rtp/239.77.0.38:5146
CCTV9,http://121.33.114.181:54321/rtp/239.77.1.160:5146
CCTV9,http://121.33.114.181:54321/rtp/239.77.1.168:5146
CCTV9,http://121.33.114.181:54321/rtp/239.77.0.135:5146
CCTV10,http://121.33.114.181:54321/rtp/239.77.0.39:5146
CCTV10,http://121.33.114.181:54321/rtp/239.77.1.113:5146
CCTV10,http://121.33.114.181:54321/rtp/239.77.1.169:5146
CCTV10,http://121.33.114.181:54321/rtp/239.77.0.134:5146
CCTV11,http://121.33.114.181:54321/rtp/239.77.0.40:5146
CCTV11,http://121.33.114.181:54321/rtp/239.77.1.108:5146
CCTV11,http://121.33.114.181:54321/rtp/239.77.1.238:5146
CCTV12,http://121.33.114.181:54321/rtp/239.77.0.41:5146
CCTV12,http://121.33.114.181:54321/rtp/239.77.1.109:5146
CCTV12,http://121.33.114.181:54321/rtp/239.77.1.170:5146
CCTV12,http://121.33.114.181:54321/rtp/239.77.1.190:5146
CCTV12,http://121.33.114.181:54321/rtp/239.77.0.136:5146
CCTV13,http://121.33.114.181:54321/rtp/239.77.0.42:5146
CCTV13,http://121.33.114.181:54321/rtp/239.77.0.188:5146
CCTV13,http://121.33.114.181:54321/rtp/239.253.43.196:5146
CCTV14,http://121.33.114.181:54321/rtp/239.77.0.43:5146
CCTV14,http://121.33.114.181:54321/rtp/239.77.1.161:5146
CCTV14,http://121.33.114.181:54321/rtp/239.77.1.171:5146
CCTV14,http://121.33.114.181:54321/rtp/239.77.0.133:5146
CCTV15,http://121.33.114.181:54321/rtp/239.77.0.44:5146
CCTV15,http://121.33.114.181:54321/rtp/239.77.1.120:5146
CCTV15,http://121.33.114.181:54321/rtp/239.77.1.239:5146
CCTV16,http://121.33.114.181:54321/rtp/239.77.0.165:5146
CCTV17,http://121.33.114.181:54321/rtp/239.77.0.115:5146
CCTV17,http://121.33.114.181:54321/rtp/239.77.1.121:5146
CCTV17,http://121.33.114.181:54321/rtp/239.77.0.198:5146
CCTV4K,http://121.33.114.181:54321/rtp/239.77.0.194:5146
CCTV4K,http://121.33.114.181:54321/rtp/239.77.1.180:5146
CGTN,http://121.33.114.181:54321/rtp/239.77.0.45:5146
CGTN,http://121.33.114.181:54321/rtp/239.77.1.27:5146
CGTN英语高清,http://121.33.114.181:54321/rtp/239.77.0.199:5146
CGTNDOCUMENTARY高清,http://121.33.114.181:54321/rtp/239.253.43.122:5146
CGTN西班牙语高清,http://121.33.114.181:54321/rtp/239.77.0.221:5146
CGTN法语高清,http://121.33.114.181:54321/rtp/239.77.0.228:5146
CGTN阿拉伯语高清,http://121.33.114.181:54321/rtp/239.253.43.200:5146
CGTN俄语高清,http://121.33.114.181:54321/rtp/239.253.43.201:5146
央视台球高清,http://121.33.114.181:54321/rtp/239.253.43.21:5146
央视台球高清,http://121.33.114.181:54321/rtp/239.253.43.11:5146
央视文化精品高清,http://121.33.114.181:54321/rtp/239.253.43.27:5146
央视文化精品高清,http://121.33.114.181:54321/rtp/239.253.43.13:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.14:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.30:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.1.17:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.1.144:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.119:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.86:5146
CCTV1,http://113.66.40.167:10000/rtp/239.77.0.129:5146
CCTV2,http://113.66.40.167:10000/rtp/239.77.0.31:5146
CCTV2,http://113.66.40.167:10000/rtp/239.77.1.158:5146
CCTV2,http://113.66.40.167:10000/rtp/239.253.43.17:5146
CCTV2,http://113.66.40.167:10000/rtp/239.77.0.137:5146
CCTV3,http://113.66.40.167:10000/rtp/239.77.0.32:5146
CCTV3,http://113.66.40.167:10000/rtp/239.77.0.169:5146
CCTV3,http://113.66.40.167:10000/rtp/239.77.0.175:5146
CCTV4,http://113.66.40.167:10000/rtp/239.77.0.33:5146
CCTV4,http://113.66.40.167:10000/rtp/239.77.1.163:5146
CCTV4,http://113.66.40.167:10000/rtp/239.77.1.166:5146
CCTV4,http://113.66.40.167:10000/rtp/239.77.0.78:5146
CCTV4美洲高清,http://113.66.40.167:10000/rtp/239.253.43.121:5146
CCTV4欧洲高清,http://113.66.40.167:10000/rtp/239.253.43.120:5146
CCTV5,http://113.66.40.167:10000/rtp/239.77.0.34:5146
CCTV5,http://113.66.40.167:10000/rtp/239.77.0.170:5146
CCTV5,http://113.66.40.167:10000/rtp/239.77.0.177:5146
CCTV5+,http://113.66.40.167:10000/rtp/239.77.0.87:5146
CCTV5+,http://113.66.40.167:10000/rtp/239.77.1.31:5146
CCTV5+,http://113.66.40.167:10000/rtp/239.77.1.147:5146
CCTV6,http://113.66.40.167:10000/rtp/239.77.0.35:5146
